"sampleobscore_id";"category_key"
33201;"Per-/poly-fluorinated compounds (PFASs)"
33206;"Per-/poly-fluorinated compounds (PFASs)"
33203;"Per-/poly-fluorinated compounds (PFASs)"
33207;"Per-/poly-fluorinated compounds (PFASs)"
33204;"Per-/poly-fluorinated compounds (PFASs)"
33205;"Per-/poly-fluorinated compounds (PFASs)"
33189;"Per-/poly-fluorinated compounds (PFASs)"
33188;"Per-/poly-fluorinated compounds (PFASs)"
33209;"Per-/poly-fluorinated compounds (PFASs)"
33208;"Per-/poly-fluorinated compounds (PFASs)"
33213;"Per-/poly-fluorinated compounds (PFASs)"
33210;"Per-/poly-fluorinated compounds (PFASs)"
33175;"Per-/poly-fluorinated compounds (PFASs)"
33214;"Per-/poly-fluorinated compounds (PFASs)"
33211;"Per-/poly-fluorinated compounds (PFASs)"
33212;"Per-/poly-fluorinated compounds (PFASs)"
33163;"Per-/poly-fluorinated compounds (PFASs)"
33217;"Per-/poly-fluorinated compounds (PFASs)"
33094;"Per-/poly-fluorinated compounds (PFASs)"
33216;"Per-/poly-fluorinated compounds (PFASs)"
33192;"Per-/poly-fluorinated compounds (PFASs)"
33191;"Per-/poly-fluorinated compounds (PFASs)"
33218;"Per-/poly-fluorinated compounds (PFASs)"
33220;"Per-/poly-fluorinated compounds (PFASs)"
33219;"Per-/poly-fluorinated compounds (PFASs)"
33222;"Per-/poly-fluorinated compounds (PFASs)"
33221;"Per-/poly-fluorinated compounds (PFASs)"
33328;"Property of soil"
32790;"Glycol ethers"
33327;"Parabens"
33346;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32639;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32849;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33307;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33421;"Parabens"
33019;"Organochlorine compounds (OCs)"
33019;"Pesticides"
33020;"Pesticides"
33020;"Organochlorine compounds (OCs)"
32640;"Pesticides"
32640;"Organochlorine compounds (OCs)"
33418;"Steroid/Sex hormones"
33420;"Pesticides"
33419;"Pesticides (carbamate)"
33422;"Cell growth and cancer markers"
33229;"Metals"
33332;"Anilines and MOCA"
33423;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33227;"Pesticides"
32641;"Blood and blood composition"
32642;"Thyroid hormones"
32643;"Blood and blood composition"
32644;"Blood and blood composition"
33424;"Blood and blood composition"
33426;"Blood and blood composition"
32606;"Property of blood"
32607;"Property of blood"
33430;"Mycotoxins"
32756;"Metals"
32677;"Pesticides (pyrethroids)"
32676;"Phthalates"
33441;"Flame retardants"
33433;"Metals"
33432;"Blood and blood composition"
32729;"Steroid/Sex hormones"
32691;"Volatile anaesthetics"
33437;"Property of urine"
33434;"Steroid/Sex hormones"
32647;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33435;"Herbicides"
33436;"Herbicides"
33170;"Per-/poly-fluorinated compounds (PFASs)"
32762;"Anilines and MOCA"
32762;"Diisocyanates"
33172;"Per-/poly-fluorinated compounds (PFASs)"
33169;"Per-/poly-fluorinated compounds (PFASs)"
32842;"Polycyclic Aromatic Hydrocarbons (PAHs)"
33171;"Per-/poly-fluorinated compounds (PFASs)"
33458;"Metals"
33438;"Pesticides"
33440;"Metals"
33439;"Mycotoxins"
32648;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32679;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32650;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32651;"Metals"
32612;"Pesticides (pyrethroids)"
32653;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32654;"Flame retardants"
32655;"Flame retardants"
32656;"Phthalates"
32657;"Per-/poly-fluorinated compounds (PFASs)"
32645;"Pesticides"
32646;"Flame retardants"
32660;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32661;"Phthalates"
32649;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32663;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32664;"Per-/poly-fluorinated compounds (PFASs)"
32652;"Phthalates"
32666;"Phthalates"
32627;"DINCH"
32668;"Phthalates"
32669;"Phthalates"
32670;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32658;"Phthalates"
32659;"Phthalates"
32672;"Phthalates"
32673;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32662;"Pesticides (pyrethroids)"
32636;"Organochlorine compounds (OCs)"
32637;"Per-/poly-fluorinated compounds (PFASs)"
32665;"Per-/poly-fluorinated compounds (PFASs)"
32671;"Metals"
32667;"Metals"
32674;"Polycyclic Aromatic Hydrocarbons (PAHs)"
32675;"Per-/poly-fluorinated compounds (PFASs)"
32801;"Mycotoxins"
32683;"Metals"
33488;"Mycotoxins"
32735;"Flame retardants"
33451;"Flame retardants"
33452;"Flame retardants"
32705;"Flame retardants"
33453;"Flame retardants"
32693;"Flame retardants"
33360;"Phthalates"
33360;"Flame retardants"
32626;"Flame retardants"
33472;"Pesticides"
32740;"Flame retardants"
33429;"Mycotoxins"
32622;"Dioxins"
32622;"Organochlorine compounds (OCs)"
33361;"Flame retardants"
32739;"Pesticides"
32624;"Pesticides"
32748;"Pesticides"
32746;"Pesticides"
32793;"Pesticides"
32965;"Metals"
33480;"Flame retardants"
33466;"Pesticides (pyrethroids)"
32874;"Mycotoxins"
32876;"Mycotoxins"
33448;"Metals"
33447;"Pesticides"
32737;"Pesticides"
33449;"Cell ageing"
33425;"Cell ageing"
